Time resolution is 1 ps
                   0 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      x, NTT_out_d=      x, NTT_addr=  z
                 221 in_ready=1, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      x, NTT_out_d=      x, NTT_addr=  z
                 231 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      x, NTT_out_d=      x, NTT_addr=  z
                1500 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=8380161, NTT_addr=  z
                1510 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=8380161, NTT_addr=  z
                1530 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=      0, NTT_addr=  z
                1540 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=    512, NTT_addr=  z
                1550 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=8380161, NTT_addr=  z
                1560 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=    512, NTT_addr=  z
                1570 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=8379905, NTT_addr=  z
                1580 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=    256, NTT_addr=  z
                1590 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=    512, NTT_addr=  z
                1600 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=8380161, NTT_addr=  z
                1610 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=    512, NTT_addr=  z
                1620 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=8379905, NTT_addr=  z
                1630 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=8379905, NTT_addr=  z
                1640 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=8380161, NTT_addr=  z
                1650 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=    512, NTT_addr=  z
                1660 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8379905, NTT_out_d=      0, NTT_addr=  z
                1670 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=8380161, NTT_addr=  z
                1680 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=8380161, NTT_addr=  z
                1690 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=8379905, NTT_addr=  z
                1700 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=      0, NTT_out_d=8380161, NTT_addr=  z
                1710 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8379905, NTT_out_d=8380161, NTT_addr=  z
                1720 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8379905, NTT_out_d=      0, NTT_addr=  z
                1730 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8379905, NTT_out_d=    256, NTT_addr=  z
                1740 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=8379905, NTT_addr=  z
                1750 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=    512, NTT_addr=  z
                1760 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    256, NTT_out_d=8380161, NTT_addr=  z
                1780 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=8379905, NTT_addr=  z
                1790 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8379905, NTT_out_d=      0, NTT_addr=  z
                1800 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=    512, NTT_out_d=8380161, NTT_addr=  z
                1810 in_ready=0, NTT_in_u=      0, NTT_in_d=      0, NTT_out_u=8380161, NTT_out_d=    512, NTT_addr=  z
