Time resolution is 1 ps
                   0 sampler_squeeze=x, next_element=x, z0=xxxxxx, z1=xxxxxx, addr_z0=   z, addr_z1=   z, we_z=x
                   5 sampler_squeeze=0, next_element=0, z0=000002, z1=000002, addr_z0=   z, addr_z1=   z, we_z=0
                 525 sampler_squeeze=0, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                 835 sampler_squeeze=1, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                 845 sampler_squeeze=0, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                1255 sampler_squeeze=0, next_element=0, z0=7fe000, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                1565 sampler_squeeze=1, next_element=0, z0=7fe000, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                1575 sampler_squeeze=0, next_element=0, z0=7fe000, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                1985 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                2295 sampler_squeeze=1, next_element=0, z0=7fdfff, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                2305 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                2715 sampler_squeeze=0, next_element=0, z0=000001, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                3025 sampler_squeeze=1, next_element=0, z0=000001, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                3035 sampler_squeeze=0, next_element=0, z0=000001, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                3445 sampler_squeeze=0, next_element=0, z0=7fe000, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                3535 sampler_squeeze=0, next_element=1, z0=7fe000, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                3545 sampler_squeeze=0, next_element=0, z0=7fe000, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                3875 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                4185 sampler_squeeze=1, next_element=0, z0=7fdfff, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                4195 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=000001, addr_z0=   z, addr_z1=   z, we_z=0
                4605 sampler_squeeze=0, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                4915 sampler_squeeze=1, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                4925 sampler_squeeze=0, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                5335 sampler_squeeze=0, next_element=0, z0=000001, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                5645 sampler_squeeze=1, next_element=0, z0=000001, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                5655 sampler_squeeze=0, next_element=0, z0=000001, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                6065 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                6375 sampler_squeeze=1, next_element=0, z0=7fdfff, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                6385 sampler_squeeze=0, next_element=0, z0=7fdfff, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                6795 sampler_squeeze=0, next_element=0, z0=000002, z1=000002, addr_z0=   z, addr_z1=   z, we_z=0
                6885 sampler_squeeze=0, next_element=1, z0=000002, z1=000002, addr_z0=   z, addr_z1=   z, we_z=0
                6895 sampler_squeeze=0, next_element=0, z0=000002, z1=000002, addr_z0=   z, addr_z1=   z, we_z=0
                7225 sampler_squeeze=0, next_element=0, z0=000001, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                7535 sampler_squeeze=1, next_element=0, z0=000001, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                7545 sampler_squeeze=0, next_element=0, z0=000001, z1=7fdfff, addr_z0=   z, addr_z1=   z, we_z=0
                7955 sampler_squeeze=0, next_element=0, z0=000002, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                8265 sampler_squeeze=1, next_element=0, z0=000002, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                8275 sampler_squeeze=0, next_element=0, z0=000002, z1=000000, addr_z0=   z, addr_z1=   z, we_z=0
                8685 sampler_squeeze=0, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                8995 sampler_squeeze=1, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                9005 sampler_squeeze=0, next_element=0, z0=000000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                9415 sampler_squeeze=0, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                9725 sampler_squeeze=1, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
                9735 sampler_squeeze=0, next_element=0, z0=7fe000, z1=7fe000, addr_z0=   z, addr_z1=   z, we_z=0
